#"
# OntoWiki Russian language translation"
# Encoding:  UTF-8"
# Separator: ;"
# Version:   $Id: core.csv 4282 2009-10-12 11:20:57Z $"
#"
Back;"Назад"
Submit;"Отправить"
Cancel;"Отмена"
Save Changes;"Сохранить изменения"
Reset Form;"Сбросить"
Edit Instances;"Редактировать экземпляры"
Edit Properties;"Редактировать свойства"
Add Property;"Добавить свойство"
Rendered in %1$d microseconds using %2$d SPARQL queries.;"Страница сгенерирована за %1$d мс с помощью %2$d SPARQL-запросов."
more;"еще"

moments ago;"недавно"
approx. 1 minute ago;"примерно минуту назад"
approx. %d minutes ago;"примерно %d минут назад"
approx. 1 hour ago;"примерно час назад"
approx. %d hours ago;"примерно %d часов назад"
approx. %d days ago;"примерно %d дней назад"

# test"
page1;"Страница 1"
page2;"Страница 2"

"
# Module"
Search all Knowledge Bases;"Показать все базы знаний"
Search Text;"Поиск текста"
Knowledge Bases;"Базы знаний"
Create Knowledge Base;"Создать базу знаний"
Show Hidden Knowledge Bases;"Показать скрытые базы знаний"
Hide Hidden Knowledge Bases;"Убрать скрытые базы знаний"
Languages (Tagged Literals);"Языки"
none;"ничего"
Classes;"Классы"
Create Class;"Создать класс"
Show Empty Classes;"Показать пустые классы"
Hide Empty Classes;"Скрыть пустые классы"
Show System Classes;"Показать системные классы"
Hide System Classes;"Скрыть системные классы"
Show Hidden Classes;"Показать скрытые классы"
Hide Hidden Classes;"Скрыть скрытые классы"
Most Popular | Most Active;"Наиболее популярные | Наиболее активные"
Rec. Changes;"Недавние именения"
Rec. Comments;"Недавние"
Login;"Вход"
No matches.;"Нет совпадений."
Predicates;"Предикаты"
Similar Instances;"Похожие экземпляры"
Instances Linking Here;"Экземпляры указывающие сюда"
Usage as Property;"Использование как свойства"
Not implemented yet.;"Еще не сделано."
Latest Changes;"Последние изменения"
Latest Discussions;"Последние обсуждения"
Comments, Descriptions and Notes;"Комментарии, описания и заметки"
Actions;"Действия"
There are no comments, descriptions or notes on this knowledge base.;"К этой базе знаний нет комментариев, описаний или заметок."
view all resources;"Показать все ресурсы"
Search for Resources;"Поиск по ресурсам"
Source;"Исходный код"
by;"по"
Objects;"Объект"
Subjects;"Субъект"

"
# Komponenten"
Properties;"Свойства"
Instances;"Экземпляры"
Calendar;"Календарь"
History;"История"
Map;"Карта"

# application menu"
User;"Пользователь"
Register New User;"Зарегистрировать нового пользователя"
Preferences;"Настройки"
Logout;"Выход"
View;"Вид"
Edit;"Редактировать"
Extras;"Экстра"
SPARQL Query Editor;"Редактор SPARQL-запросов"
File Resource Manager;"Управление файлами ресурсов"
News;"Новости"
Clear Cache;"Очистить кеш"
Help;"Помощь"
Documentation;"Документация"
Bug Report;"Сообщить об ошибке"
Version Info;"Информация о версии"
About;"Об OntoWiki"

#Pager"
First;"Первая"
Previous;"Предыдущая"
Next;"Следующая"
Last;"Последняя"

Create New Knowledge Base;"Создать новую базу знаний"
Model URI;"URI модели"
Create an Empty Knowledge Base;"Создать пустую базу знаний"
Base URI;"Базовая URI"
Type;"Тип"
Import From the Web;"Импортировать из Веб"
Upload a File;"Загрузить файл"
File Type;"Тип файла"
File (max. %1$sB);"Файл (макс. %1$sB)"
Paste Source;"Вставить исходный код"
Source Code;"Исходный код"
Enter the URL where the model should be downloaded from. If you leave the field empty the model URI will be used.;"Введите URL для загрузки модели из Веб. Если вы оставите это поле пустым, будет использован URL модели."
Location;"Путь"
Instances of %1$s;"Экземпляры %1$s"
Properties of %1$s;"Свойства %1$s"

Register User;"Зарегистрировать пользователя"
Username;"Имя пользователя"
Email Address;"E-Mail"
Password;"Пароль"
Password (repeat);"Пароль (подтверждение)"
Unknown user identifier.;"Неизвестный идентификатор пользователя."
Forgot your password?;"Забыли пароль?"

Predefined namespaces;"Предопределенные пространства имен"
SPARQL Options;"Настройки SPARQL"
Plain;"Простой"
Submit Query;"Отправить запрос"
result;"результат"
results;"результаты"
Search returned %1$d %2$s.;"Поиск вернул %1$d %2$s. "
Query execution took %1$d ms.;"Запрос был выполнен за %1$d ms."

# Menüs"
View Resource;"Показать ресурс"
Edit Resource;"Редактировать ресурс"
Delete Resource;"Удалить ресурс"

List Instances;"Список экземпляров"
Create Instance;"Создать экземпляр"
Create Subclass;"Создать подкласс"

Select Knowledge Base;"Выбрать базу знаний"
Configure Knowledge Base;"Настроить базу знаний"
Add Data to Knowledge Base;"Добавить данные в базу знаний"
Export Knowledge Base as RDF/XML;"Экспортировать базу знаний в RDF/XML"
Export Knowledge Base as RDF/JSON;"Экспортировать базу знаний в RDF/JSON"
Export Knowledge Base as RDF/N3;"Экспортировать базу знаний в RDF/N3"
Export Knowledge Base as RDF/JSON (Talis);"Экспортировать базу знаний в RDF/JSON (Talis)"
Export Knowledge Base as Turtle;"Экспортировать базу знаний в Turtle"
Export Knowledge Base as Notation 3;"Экспортировать базу знаний в N3"
Delete Knowledge Base;"Удалить базу знаний"

# Wochentage"
Monday;"Понедельник"
Tuesday;"Вторник"
Wednesday;"Среда"
Thursday;"Четверг"
Friday;"Пятница"
Saturday;"Суббота"
Sunday;"Воскресенье"

Add Class;"Добавить класс"
Add Instance;"Добавить экземпляр"

Show Properties;"Показать свойства"

Filter;"Фильтры"
Combine Filters (Conjunction);"Группировать фильтры (связывание)"

Merge;"Слияние"
Visit resource on the web;"Посетить ресурс в Веб"

Create instances from property value by regexp;"Создать экземпляр из значения свойства с помощью регулярного выражения"
Similar Instances;"Похожие экземпляры"
Rating;"Рейтинг"
Average Rating;"Средний рейтинг"
Your Rating;"Ваш рейтинг"
Instances Linking Here;"Экземпляры указывающие сюда"
Usage as Property;"Использование как свойства"
Instances;"Экземпляры"
Values;"Значения"
Search | OntoWiki;"Поиск | OntoWiki"
Search Text;"Текстовый поиск"
Submit;"Отправить"
Search All Knowledge Bases;"Поиск во всех базах знаний"
Search;"Поиск"
Add Property;"Добавить свойство"
Submit Values;"Отправить значения"
SPARQL Query Editor;"Редактор запросов SPARQL"
Result Options;"Настройки результатов"
Table;"Таблица"
SPARQL Query Results XML Format;"Результаты запроса SPARQL в XML"
Render Ressources as OntoWiki Links;"Отобразить ресурсы как ссылки OntoWiki"
Create New Knowledge Base;"Создать новую базу знаний"
FOAFSSL;"FOAF+SSL"

# explore tags module"
Explore Tags;"Исследовать теги"
Reset Explore Tags Box;"Сбросить исследованные теги"
Reset selected tags;"Сбросить выбранные теги"
Number of showed tags;"Количетсво отображаемых тегов"
Sort;"Сортировка"
by name;"по имени"
by frequency;"по частоте"

